x y
187.2603495571305 602.2896097161154
197.43609381112825 585.9889523006544
994.7319906762955 290.0673258886145
211.4638495240388 602.87588497009
1099.4444447918856 187.33999645928722
187.94668731537516 606.1208445058107
390.12083993540637 509.23942726730655
419.96359181500355 501.26768883264805
1008.6390646969866 296.25240800409387
407.43173121276544 484.40692779338076
1003.0714721100483 303.17738655793556
1086.4669025125131 197.25043317681929
1014.6155295441309 306.4838357752516
1102.515569636882 202.05908342397464
1086.2445542682515 186.20476990474808
398.2591779270791 514.847735010451
195.139776275425 592.7192483842584
198.59650782315194 602.8496973373796
1101.351069789652 201.19381840060464
405.3706986656101 473.62623945773544
1101.7262882889981 210.8349840228022
396.76440303228696 499.2491043577807
987.3789076827899 313.22942666995584
194.3876122876681 595.6389155820619
1005.8444782748415 304.09243762537034
996.2495503017526 308.611930926557
199.03125112258766 600.2646801993355
1112.0293091286635 195.03896938900564
1015.4875377743253 294.81186848789554
395.45216828769236 497.35907958191063
1082.4829862933766 195.07423330671404
992.6221347094795 304.9662952582442
1095.2777852866764 198.1424330136543
199.3454281804052 593.7526180615178
394.5351011690776 495.7539344617242
197.07176263428934 607.465099894346
406.6138127795556 504.80137362505087
1110.188548469286 213.74065021230896
399.13355346995377 494.1151157717291
991.6267790137848 273.49131186569167
